phish_id,A
6128477,212.227.172.250
6132624,52.77.76.74
6132624,52.77.87.24
6135120,77.81.120.23
6137256,77.81.120.23
6170131,46.19.10.212
6191332,13.107.136.9
6191332,13.107.138.9
6210932,13.107.136.9
6210932,13.107.138.9
6213305,31.11.33.27
6227600,104.21.87.57
6227600,172.67.141.232
6245807,93.90.145.83
6257908,192.185.79.215
6257909,192.185.79.215
6262126,13.107.6.194
6264401,45.10.150.116
6268871,104.16.140.31
6268871,104.17.119.40
6269748,104.21.42.195
6269748,172.67.165.141
6276917,162.241.24.194
6289329,13.107.136.9
6289329,13.107.138.9
6310607,43.255.154.95
6335389,185.213.209.29
6346505,209.58.173.169
6348332,18.67.152.11
6348332,18.67.152.39
6348332,18.67.152.58
6348332,18.67.152.84
6348346,13.107.136.9
6348346,13.107.138.9
6359003,77.105.36.229
6363516,18.67.152.11
6363516,18.67.152.39
6363516,18.67.152.58
6363516,18.67.152.84
6372001,142.251.42.243
6376701,184.170.148.94
6376702,184.170.148.94
6382517,103.19.108.13
6388594,116.12.54.24
6392678,212.227.172.254
6401524,108.167.183.23
6404730,14.63.214.2
6404731,14.63.214.2
6406601,64.77.76.8
6421166,104.18.26.114
6421166,104.18.27.114
6432804,3.215.236.123
6432804,3.217.53.139
6432804,3.230.136.59
6432804,35.170.205.192
6432804,52.4.115.54
6432804,54.144.231.19
6432804,54.146.98.77
6432804,54.152.115.15
6439006,194.169.120.108
6465525,172.217.24.19
6466947,89.187.185.163
6471311,80.151.118.120
6491860,172.217.24.106
6493858,117.103.66.75
6494204,47.242.32.17
6508952,64.25.55.120
6511102,111.92.189.32
6517328,192.185.145.202
6526791,172.217.24.74
6528413,192.232.249.142
6528431,89.46.104.24
6528480,89.46.104.24
6532524,172.217.25.10
6541985,46.101.150.160
6541986,46.101.150.160
6542482,18.210.141.73
6542482,3.213.37.58
6542482,3.218.47.163
6548256,89.46.104.24
6548536,104.21.65.4
6548536,172.67.138.174
6548629,89.46.104.24
6548630,89.46.104.24
6548634,89.46.104.24
6550658,13.107.136.9
6550658,13.107.138.9
6550663,172.217.174.202
6550710,13.107.136.9
6550710,13.107.138.9
6553324,13.107.136.9
6553324,13.107.138.9
6558646,107.180.25.169
6559978,104.16.159.215
6559978,104.16.160.215
6559978,104.16.161.215
6559978,104.16.162.215
6559978,104.16.163.215
6562832,46.101.150.160
6562833,46.101.150.160
6564946,104.21.20.211
6564946,172.67.194.119
6567157,70.32.68.125
6567158,70.32.68.125
6570183,209.133.197.146
6570276,178.62.22.246
6571076,103.53.42.63
6583240,107.180.48.126
6583241,107.180.48.126
6584146,216.251.43.17
6584876,172.217.24.19
6587023,84.1.251.131
6587740,46.101.150.160
6588023,89.46.104.24
6588178,172.217.27.147
6591791,89.46.104.24
6592722,13.226.123.128
6592722,13.226.123.143
6592722,13.226.123.48
6592722,13.226.123.91
6595377,46.101.150.160
6595399,167.99.149.43
6603964,46.101.150.160
6605604,46.101.150.160
6611110,167.99.149.43
6611848,104.21.22.234
6611848,172.67.207.149
6612034,81.0.212.3
6613312,142.250.199.74
6617336,184.170.148.94
6617337,184.170.148.94
6617434,46.101.150.160
6619861,47.242.32.17
6621075,130.211.204.68
6623652,202.191.56.152
6623672,202.191.56.152
6628762,47.242.32.17
6631004,103.67.235.120
6649242,47.242.32.17
6650702,52.194.151.139
6652361,47.242.32.17
6657995,195.110.128.28
6658284,192.185.145.202
6661609,46.101.150.160
6668661,82.165.27.36
6673436,142.250.66.46
6673841,47.242.32.17
6674834,47.242.32.17
6675996,104.16.159.215
6675996,104.16.160.215
6675996,104.16.161.215
6675996,104.16.162.215
6675996,104.16.163.215
6677519,185.199.108.153
6677519,185.199.109.153
6677519,185.199.110.153
6677519,185.199.111.153
6677520,185.199.108.153
6677520,185.199.109.153
6677520,185.199.110.153
6677520,185.199.111.153
6677621,185.199.108.153
6677621,185.199.109.153
6677621,185.199.110.153
6677621,185.199.111.153
6677768,185.199.108.153
6677768,185.199.109.153
6677768,185.199.110.153
6677768,185.199.111.153
6679472,104.21.22.234
6679472,172.67.207.149
6680745,217.160.0.133
6686686,192.232.249.142
6690082,142.250.66.46
6698321,209.99.16.240
6698606,209.99.16.240
6704641,96.125.162.78
6711218,209.99.16.240
6711398,47.242.32.17
6711855,209.99.16.240
6721517,104.16.159.215
6721517,104.16.160.215
6721517,104.16.161.215
6721517,104.16.162.215
6721517,104.16.163.215
6721839,212.129.54.32
6726231,217.77.208.228
6733707,104.16.159.215
6733707,104.16.160.215
6733707,104.16.161.215
6733707,104.16.162.215
6733707,104.16.163.215
6733708,104.16.159.215
6733708,104.16.160.215
6733708,104.16.161.215
6733708,104.16.162.215
6733708,104.16.163.215
6733717,104.16.159.215
6733717,104.16.160.215
6733717,104.16.161.215
6733717,104.16.162.215
6733717,104.16.163.215
6733718,104.16.159.215
6733718,104.16.160.215
6733718,104.16.161.215
6733718,104.16.162.215
6733718,104.16.163.215
6733719,104.16.159.215
6733719,104.16.160.215
6733719,104.16.161.215
6733719,104.16.162.215
6733719,104.16.163.215
6733720,104.16.159.215
6733720,104.16.160.215
6733720,104.16.161.215
6733720,104.16.162.215
6733720,104.16.163.215
6733723,104.16.159.215
6733723,104.16.160.215
6733723,104.16.161.215
6733723,104.16.162.215
6733723,104.16.163.215
6733726,104.16.159.215
6733726,104.16.160.215
6733726,104.16.161.215
6733726,104.16.162.215
6733726,104.16.163.215
6733727,104.16.159.215
6733727,104.16.160.215
6733727,104.16.161.215
6733727,104.16.162.215
6733727,104.16.163.215
6733737,104.16.159.215
6733737,104.16.160.215
6733737,104.16.161.215
6733737,104.16.162.215
6733737,104.16.163.215
6733738,104.16.159.215
6733738,104.16.160.215
6733738,104.16.161.215
6733738,104.16.162.215
6733738,104.16.163.215
6733740,104.16.159.215
6733740,104.16.160.215
6733740,104.16.161.215
6733740,104.16.162.215
6733740,104.16.163.215
6739276,142.250.66.110
6740303,79.124.16.195
6740329,79.124.16.195
6744223,166.62.28.95
6744224,166.62.28.95
6744999,192.185.159.242
6745822,96.125.162.78
6748133,46.101.150.160
6755255,172.217.24.110
6766678,172.81.119.216
6768265,47.242.32.17
6771128,142.251.43.19
6771902,34.102.176.152
6775827,172.217.24.238
6781244,163.44.198.59
6782440,163.44.198.59
6783043,192.185.116.204
6783979,34.102.176.152
6786680,81.21.164.201
6786928,172.217.24.234
6798187,34.102.176.152
6800670,172.217.174.202
6809318,192.185.174.107
6809861,5.101.109.44
6811105,172.217.24.238
6811644,104.21.77.44
6811644,172.67.204.120
6811648,104.21.77.44
6811648,172.67.204.120
6811649,104.21.77.44
6811649,172.67.204.120
6811650,104.21.77.44
6811650,172.67.204.120
6811651,104.21.77.44
6811651,172.67.204.120
6811652,104.21.77.44
6811652,172.67.204.120
6811653,104.21.77.44
6811653,172.67.204.120
6811654,104.21.77.44
6811654,172.67.204.120
6811656,104.21.77.44
6811656,172.67.204.120
6811657,104.21.77.44
6811657,172.67.204.120
6811658,104.21.77.44
6811658,172.67.204.120
6811659,104.21.77.44
6811659,172.67.204.120
6811660,104.21.77.44
6811660,172.67.204.120
6811661,104.21.77.44
6811661,172.67.204.120
6811662,104.21.77.44
6811662,172.67.204.120
6811664,104.21.77.44
6811664,172.67.204.120
6811667,104.21.77.44
6811667,172.67.204.120
6811669,104.21.77.44
6811669,172.67.204.120
6816397,142.250.66.110
6816938,212.200.255.36
6819204,34.102.176.152
6822988,107.23.67.58
6822988,52.73.18.71
6825660,34.102.176.152
6828129,172.217.24.238
6828772,34.102.176.152
6830639,34.102.176.152
6830712,44.229.196.2
6830712,52.24.130.13
6830712,54.69.50.8
6831033,34.102.176.152
6831820,142.250.204.42
6832055,217.77.208.228
6835270,172.217.24.238
6836744,172.217.24.238
6839597,52.221.67.64
6840775,172.217.24.238
6841713,199.36.158.100
6841714,199.36.158.100
6843441,199.36.158.100
6844269,199.36.158.100
6844270,199.36.158.100
6844486,142.250.66.110
6844588,172.217.24.238
6845747,199.36.158.100
6845776,199.36.158.100
6846498,35.185.44.232
6846499,35.185.44.232
6846809,199.36.158.100
6846810,199.36.158.100
6847319,199.36.158.100
6847439,199.36.158.100
6847440,199.36.158.100
6847443,199.36.158.100
6847462,199.36.158.100
6848207,34.102.176.152
6848682,199.36.158.100
6848683,199.36.158.100
6848700,199.36.158.100
6849078,199.36.158.100
6849079,199.36.158.100
6849926,45.117.83.115
6852475,103.14.99.210
6852615,199.36.158.100
6852616,199.36.158.100
6852619,199.36.158.100
6852620,199.36.158.100
6852622,199.36.158.100
6852631,199.36.158.100
6852636,199.36.158.100
6852638,199.36.158.100
6853237,172.217.24.238
6853302,172.217.24.238
6853322,172.217.24.238
6854076,199.36.158.100
6854077,199.36.158.100
6854196,199.36.158.100
6854197,199.36.158.100
6854198,199.36.158.100
6854199,199.36.158.100
6855659,199.36.158.100
6855661,199.36.158.100
6855662,199.36.158.100
6855663,199.36.158.100
6855665,199.36.158.100
6855667,199.36.158.100
6855670,199.36.158.100
6855671,199.36.158.100
6857536,217.160.0.103
6857537,217.160.0.103
6858199,199.36.158.100
6858200,199.36.158.100
6858203,199.36.158.100
6858204,199.36.158.100
6858205,199.36.158.100
6860075,199.36.158.100
6860077,199.36.158.100
6860079,199.36.158.100
6860080,199.36.158.100
6860346,172.217.24.238
6865034,64.34.186.89
6865503,84.1.251.131
6874561,144.91.79.7
6874829,217.160.0.103
6876555,217.160.0.103
6881808,185.40.100.154
6882375,199.36.158.100
6882846,208.113.197.98
6884436,3.122.58.63
6884436,3.127.140.173
6886916,199.36.158.100
6887385,142.250.66.110
6890673,172.217.24.238
6890818,44.229.196.2
6890818,52.24.130.13
6890818,54.69.50.8
6892519,108.59.4.50
6893915,68.65.122.93
6895404,172.217.24.238
6896800,199.36.158.100
6896801,199.36.158.100
6899109,199.36.158.100
6899110,199.36.158.100
6899111,199.36.158.100
6900824,199.36.158.100
6900826,199.36.158.100
6901309,199.36.158.100
6901311,199.36.158.100
6901312,199.36.158.100
6901313,199.36.158.100
6901316,199.36.158.100
6902052,199.36.158.100
6902053,199.36.158.100
6902141,199.36.158.100
6902143,199.36.158.100
6902144,199.36.158.100
6902789,199.36.158.100
6902790,199.36.158.100
6902791,199.36.158.100
6902792,199.36.158.100
6902793,199.36.158.100
6902794,199.36.158.100
6903074,199.36.158.100
6903075,199.36.158.100
6903078,199.36.158.100
6903079,199.36.158.100
6903080,199.36.158.100
6903081,199.36.158.100
6903088,199.36.158.100
6903387,199.36.158.100
6903388,199.36.158.100
6904188,199.36.158.100
6904190,199.36.158.100
6905210,199.36.158.100
6905212,199.36.158.100
6906444,199.36.158.100
6906445,199.36.158.100
6906461,199.36.158.100
6906463,199.36.158.100
6907449,199.36.158.100
6907456,199.36.158.100
6907457,199.36.158.100
6907459,199.36.158.100
6907460,199.36.158.100
6907463,199.36.158.100
6907475,199.36.158.100
6907477,199.36.158.100
6908129,142.250.204.78
6908190,199.36.158.100
6908191,199.36.158.100
6908192,199.36.158.100
6908193,199.36.158.100
6908199,199.36.158.100
6908200,199.36.158.100
6908202,199.36.158.100
6909505,199.36.158.100
6910622,199.36.158.100
6910624,199.36.158.100
6912780,192.185.174.107
6914203,199.36.158.100
6914205,199.36.158.100
6914218,199.36.158.100
6917203,199.36.158.100
6918055,163.44.198.59
6918056,163.44.198.59
6919172,172.217.24.110
6924539,199.36.158.100
6924540,199.36.158.100
6924853,199.36.158.100
6924854,199.36.158.100
6924858,199.36.158.100
6925930,199.36.158.100
6925932,199.36.158.100
6925933,199.36.158.100
6925956,199.36.158.100
6925957,199.36.158.100
6929308,66.175.58.9
6929332,206.183.111.188
6931132,104.17.157.14
6931132,104.17.158.14
6931132,104.17.159.14
6931132,104.17.160.14
6931132,104.17.161.14
6931133,104.17.157.14
6931133,104.17.158.14
6931133,104.17.159.14
6931133,104.17.160.14
6931133,104.17.161.14
6935036,104.21.83.164
6935036,172.67.178.183
6939481,35.185.44.232
6948222,31.11.34.57
6948334,142.250.66.142
6948335,142.250.66.142
6948369,142.250.66.142
6952520,172.217.27.147
6955978,104.26.0.140
6955978,104.26.1.140
6955978,172.67.72.212
6955980,104.26.0.140
6955980,104.26.1.140
6955980,172.67.72.212
6955989,104.26.0.140
6955989,104.26.1.140
6955989,172.67.72.212
6955994,104.26.0.140
6955994,104.26.1.140
6955994,172.67.72.212
6956002,104.26.0.140
6956002,104.26.1.140
6956002,172.67.72.212
6956004,104.26.0.140
6956004,104.26.1.140
6956004,172.67.72.212
6956012,104.26.0.140
6956012,104.26.1.140
6956012,172.67.72.212
6956018,104.26.0.140
6956018,104.26.1.140
6956018,172.67.72.212
6956827,34.226.78.112
6964209,108.179.252.84
6964210,108.179.252.84
6973745,199.36.158.100
6973746,199.36.158.100
6973747,199.36.158.100
6973748,199.36.158.100
6982812,199.36.158.100
6982813,199.36.158.100
6984309,199.36.158.100
6985372,142.250.66.46
6985393,142.250.66.46
6986820,199.36.158.100
6990464,34.102.176.152
6992212,173.254.28.65
6993146,178.254.50.107
7001691,99.84.206.2
7001691,99.84.206.3
7001691,99.84.206.37
7001691,99.84.206.71
7010348,142.250.66.142
7011004,142.250.66.46
7013218,35.190.67.96
7014749,209.235.144.9
7017341,199.36.158.100
7017342,199.36.158.100
7017495,199.36.158.100
7017496,199.36.158.100
7018770,35.213.152.108
7022272,192.185.37.183
7022297,108.167.156.224
7034891,104.21.87.194
7034891,172.67.145.181
7050418,50.3.245.115
7051063,107.180.1.237
7053699,217.148.3.166
7056449,203.154.59.133
7056526,81.21.164.201
7060906,89.46.109.44
7061490,64.251.1.108
7063415,162.241.203.185
7063416,162.241.203.185
7076006,142.250.66.142
7076828,173.198.248.3
7077230,199.36.158.100
7077507,35.209.91.240
7077508,35.209.91.240
7087062,34.102.176.152
7088554,196.1.97.203
7090070,199.36.158.100
7090071,199.36.158.100
7095702,199.36.158.100
7095703,199.36.158.100
7096833,87.236.16.84
7096865,45.126.59.196
7097656,3.211.18.187
7097656,3.230.29.177
7097988,116.0.21.223
7102043,34.102.176.152
7103141,67.222.109.196
7103142,72.34.57.26
7103143,72.34.57.26
7103881,3.7.200.187
7106655,107.154.155.195
7106655,107.154.169.195
7107347,54.36.210.12
7110273,40.84.156.139
7114776,212.224.124.82
7115216,199.36.158.100
7116024,199.36.158.100
7117028,199.36.158.100
7117837,69.167.167.97
7118198,3.7.200.187
7118984,142.250.66.46
7118985,142.250.66.46
7120721,64.191.166.198
7121849,34.102.176.152
7123929,195.110.124.154
7124673,199.36.158.100
7124674,199.36.158.100
7124675,199.36.158.100
7124676,199.36.158.100
7125351,199.36.158.100
7125354,199.36.158.100
7125355,199.36.158.100
7125356,199.36.158.100
7126597,34.102.176.152
7126607,34.102.176.152
7127360,172.81.119.216
7127361,172.81.119.216
7127808,104.18.2.169
7127808,104.18.3.169
7128535,35.214.14.21
7129683,110.4.45.141
7129754,110.4.45.141
7130705,34.102.176.152
7130706,34.102.176.152
7132178,34.102.176.152
7132980,185.99.235.115
7133053,162.210.99.158
7133054,162.210.99.158
7134231,162.210.99.158
7137294,34.102.176.152
7137296,34.102.176.152
7137320,34.102.176.152
7137321,34.102.176.152
7137388,34.102.176.152
7142389,35.175.73.124
7142389,52.86.146.58
7142389,54.156.71.157
7142389,54.157.184.43
7143845,199.36.158.100
7143847,199.36.158.100
7146517,162.144.62.201
7150627,198.199.127.43
7150628,198.199.127.43
7150852,198.38.82.163
7150922,198.199.127.43
7151756,85.8.182.81
7151821,142.250.66.110
7152713,199.36.158.100
7152714,199.36.158.100
7152715,199.36.158.100
7152716,199.36.158.100
7152717,199.36.158.100
7152719,199.36.158.100
7152721,199.36.158.100
7152722,199.36.158.100
7152723,199.36.158.100
7153110,104.26.12.111
7153110,104.26.13.111
7153110,172.67.68.126
7153689,199.36.158.100
7153690,199.36.158.100
7153691,199.36.158.100
7153692,199.36.158.100
7154669,199.36.158.100
7155618,34.102.176.152
7155688,64.91.254.82
7157654,173.231.203.67
7157938,52.173.76.33
7158440,98.142.96.74
7158441,98.142.96.74
7158443,98.142.96.74
7159340,185.199.108.153
7159340,185.199.109.153
7159340,185.199.110.153
7159340,185.199.111.153
7159341,185.199.108.153
7159341,185.199.109.153
7159341,185.199.110.153
7159341,185.199.111.153
7159510,185.199.108.153
7159510,185.199.109.153
7159510,185.199.110.153
7159510,185.199.111.153
7163114,45.126.59.196
7163294,142.250.66.110
7163552,142.250.66.110
7163635,66.235.200.145
7163822,142.250.66.110
7163867,142.250.66.46
7164709,172.217.31.238
7165259,199.36.158.100
7165752,67.199.248.14
7165752,67.199.248.15
7165753,142.250.66.110
7166357,196.1.97.203
7166358,196.1.97.203
7166380,199.36.158.100
7166423,199.36.158.100
7166424,199.36.158.100
7166493,196.1.97.203
7167419,213.156.98.133
7168389,199.36.158.100
7168424,35.238.70.19
7170330,91.216.107.78
7170331,91.216.107.78
7170337,34.102.176.152
7171311,199.36.158.100
7171312,199.36.158.100
7173341,216.69.141.2
7174241,199.36.158.100
7174242,142.250.66.142
7174739,199.36.158.100
7174848,142.250.66.110
7174852,199.36.158.100
7174873,199.36.158.100
7175000,199.36.158.100
7175140,142.250.66.110
7175372,103.116.16.35
7175373,103.116.16.35
7175375,103.116.16.35
7175376,103.116.16.35
7176404,162.214.69.127
7178344,173.198.248.3
7178356,198.199.127.43
7179781,217.77.208.228
7180462,34.102.176.152
7180482,195.78.66.254
7180487,198.199.127.43
7182126,142.250.204.112
7182126,142.250.204.144
7182126,142.250.204.48
7182126,142.250.204.80
7182126,142.250.207.80
7182126,142.250.66.112
7182126,142.250.66.144
7182126,142.250.66.48
7182126,142.250.66.80
7182126,172.217.161.176
7182126,172.217.174.208
7182126,172.217.24.112
7182126,172.217.24.240
7182126,172.217.24.80
7182126,172.217.25.16
7182126,216.58.200.80
7186338,185.199.108.153
7186338,185.199.109.153
7186338,185.199.110.153
7186338,185.199.111.153
7186339,185.199.108.153
7186339,185.199.109.153
7186339,185.199.110.153
7186339,185.199.111.153
7186593,185.199.108.153
7186593,185.199.109.153
7186593,185.199.110.153
7186593,185.199.111.153
7187297,110.4.45.141
7187387,199.36.158.100
7187388,199.36.158.100
7187504,110.4.45.141
7188361,199.36.158.100
7188411,199.36.158.100
7188412,199.36.158.100
7189335,199.36.158.100
7189336,199.36.158.100
7189456,199.36.158.100
7189543,199.36.158.100
7189544,199.36.158.100
7190780,199.36.158.100
7190781,199.36.158.100
7191243,142.250.66.110
7194047,185.199.108.153
7194047,185.199.109.153
7194047,185.199.110.153
7194047,185.199.111.153
7194048,185.199.108.153
7194048,185.199.109.153
7194048,185.199.110.153
7194048,185.199.111.153
7194998,52.175.36.249
7197064,34.102.176.152
7197414,162.241.27.25
7197777,115.68.95.138
7198439,162.214.155.2
7199067,199.36.158.100
7199068,199.36.158.100
7199658,185.199.108.153
7199658,185.199.109.153
7199658,185.199.110.153
7199658,185.199.111.153
7200044,185.199.108.153
7200044,185.199.109.153
7200044,185.199.110.153
7200044,185.199.111.153
7200516,35.214.145.168
7202068,162.214.74.239
7202662,142.250.66.110
7202670,142.250.66.110
7202901,12.183.16.19
7204160,142.250.66.46
7204271,70.42.174.107
7204271,70.42.174.108
7204271,70.42.174.210
7204271,72.5.52.223
7204271,72.5.52.230
7204271,72.5.52.238
7204336,67.199.248.14
7204336,67.199.248.15
7205127,137.59.148.200
7205959,13.107.213.39
7205959,13.107.246.39
7206340,104.18.132.142
7206340,104.18.133.142
7206340,104.18.134.142
7206340,104.18.135.142
7206340,104.18.136.142
7206343,104.18.132.142
7206343,104.18.133.142
7206343,104.18.134.142
7206343,104.18.135.142
7206343,104.18.136.142
7206344,104.18.132.142
7206344,104.18.133.142
7206344,104.18.134.142
7206344,104.18.135.142
7206344,104.18.136.142
7206346,104.18.132.142
7206346,104.18.133.142
7206346,104.18.134.142
7206346,104.18.135.142
7206346,104.18.136.142
7206878,87.236.16.215
7206879,87.236.16.215
7207642,104.18.28.12
7207642,104.18.29.12
7207643,104.18.28.12
7207643,104.18.29.12
7208056,173.212.225.42
7208359,217.16.182.220
7208855,199.36.158.100
7211152,35.209.89.90
7211368,142.250.66.46
7211896,199.36.158.100
7213870,199.36.158.100
7213871,142.250.66.110
7216316,45.60.22.129
7216316,45.60.98.129
7216712,172.217.24.238
7218156,151.101.229.95
7218571,67.199.248.16
7218571,67.199.248.17
7220524,54.192.73.122
7220524,54.192.73.44
7220524,54.192.73.45
7220524,54.192.73.80
7220711,35.209.89.90
7221772,107.180.50.169
7222044,104.21.66.242
7222044,172.67.165.225
7222650,199.36.158.100
7223205,34.102.176.152
7223593,142.250.66.110
7223610,213.156.98.133
7223626,185.230.61.173
7224121,104.21.95.83
7224121,172.67.143.215
7224180,46.19.10.212
7224245,46.19.10.212
7224838,104.21.24.30
7224838,172.67.216.128
7225617,142.250.199.80
7225617,142.250.204.112
7225617,142.250.204.144
7225617,142.250.204.48
7225617,142.250.204.80
7225617,142.250.207.80
7225617,142.250.66.112
7225617,142.250.66.144
7225617,142.250.66.48
7225617,142.250.66.80
7225617,172.217.161.176
7225617,172.217.174.208
7225617,172.217.24.112
7225617,172.217.24.240
7225617,172.217.24.80
7225617,172.217.25.16
7226003,172.217.24.238
7226260,172.217.24.238
7226613,185.27.134.150
7226976,52.245.225.0
7227058,34.80.190.141
7227074,34.80.190.141
7227150,142.250.66.110
7227360,142.250.66.110
7227436,35.214.53.51
7227987,199.36.158.100
7227988,142.250.66.110
7228172,199.36.158.100
7228378,142.250.66.110
7228618,199.36.158.100
7228620,142.250.66.110
7228998,199.36.158.100
7229378,213.156.98.133
7229787,199.36.158.100
7229788,199.36.158.100
7229793,199.36.158.100
7229839,34.102.176.152
7229840,34.102.176.152
7230849,199.36.158.100
7232115,34.102.176.152
7234279,152.199.39.108
7234435,142.250.66.46
7234499,142.250.66.46
7234555,142.250.66.110
7234571,199.36.158.100
7234572,142.250.66.110
7234856,142.250.66.110
7234857,142.250.66.110
7234951,142.250.66.110
7234952,199.36.158.100
7234953,142.250.66.110
7235088,217.16.182.215
7235256,199.36.158.100
7235319,199.36.158.100
7235320,199.36.158.100
7236528,142.250.66.110
7236864,20.34.13.53
7237053,20.34.13.53
7237502,199.36.158.100
7237503,199.36.158.100
7238346,199.36.158.100
7238366,199.36.158.100
7238367,199.36.158.100
7239479,104.21.3.214
7239479,172.67.131.55
7239748,199.36.158.100
7239823,199.36.158.100
7239824,199.36.158.100
7239825,199.36.158.100
7239826,199.36.158.100
7240700,185.199.108.153
7240700,185.199.109.153
7240700,185.199.110.153
7240700,185.199.111.153
7240701,185.199.108.153
7240701,185.199.109.153
7240701,185.199.110.153
7240701,185.199.111.153
7240845,185.199.108.153
7240845,185.199.109.153
7240845,185.199.110.153
7240845,185.199.111.153
7241277,115.68.95.138
7241279,199.36.158.100
7241323,199.36.158.100
7241324,199.36.158.100
7241325,199.36.158.100
7241326,199.36.158.100
7241843,5.101.110.225
7241882,199.36.158.100
7241883,199.36.158.100
7243560,185.199.108.153
7243560,185.199.109.153
7243560,185.199.110.153
7243560,185.199.111.153
7243566,104.21.24.30
7243566,172.67.216.128
7243567,104.21.95.83
7243567,172.67.143.215
7243583,185.199.108.153
7243583,185.199.109.153
7243583,185.199.110.153
7243583,185.199.111.153
7243584,185.199.108.153
7243584,185.199.109.153
7243584,185.199.110.153
7243584,185.199.111.153
7243688,104.26.6.145
7243688,104.26.7.145
7243688,172.67.72.65
7243945,185.199.108.153
7243945,185.199.109.153
7243945,185.199.110.153
7243945,185.199.111.153
7244000,129.232.165.210
7244954,199.36.158.100
7244955,199.36.158.100
7245028,199.36.158.100
7245479,185.199.108.153
7245479,185.199.109.153
7245479,185.199.110.153
7245479,185.199.111.153
7246038,217.160.0.213
7246573,142.250.66.110
7247075,142.250.66.110
7247220,199.36.158.100
7247800,199.36.158.100
7247801,199.36.158.100
7247960,34.102.176.152
7249280,162.241.70.237
7249281,162.241.70.237
7250383,172.217.24.238
7251664,98.142.96.74
7252520,151.101.130.133
7252520,151.101.194.133
7252520,151.101.2.133
7252520,151.101.66.133
7252857,20.75.114.75
7252897,101.100.216.213
7253097,209.235.144.9
7253098,209.235.144.9
7253138,151.101.130.133
7253138,151.101.194.133
7253138,151.101.2.133
7253138,151.101.66.133
7253570,185.199.108.153
7253570,185.199.109.153
7253570,185.199.110.153
7253570,185.199.111.153
7253829,185.199.108.153
7253829,185.199.109.153
7253829,185.199.110.153
7253829,185.199.111.153
7254245,185.199.108.153
7254245,185.199.109.153
7254245,185.199.110.153
7254245,185.199.111.153
7255585,185.199.108.153
7255585,185.199.109.153
7255585,185.199.110.153
7255585,185.199.111.153
7255595,185.199.108.153
7255595,185.199.109.153
7255595,185.199.110.153
7255595,185.199.111.153
7256027,34.102.176.152
7256492,217.160.0.183
7256493,217.160.0.183
7257049,199.36.158.100
